"Time (s)"	"Acceleration (m/s²)"
2.514175758E1	-4.633269364E-1
2.518197258E1	-5.288941044E-1
2.522218658E1	-6.941486979E-1
2.526240158E1	-6.972944999E-1
2.530261558E1	-6.963963675E-1
2.534282958E1	-6.541823941E-1
2.538304458E1	-7.481851566E-1
2.542325858E1	-7.860546488E-1
2.546347258E1	-7.950336331E-1
2.550368758E1	-7.793227494E-1
2.554390158E1	-8.068777531E-1
2.558411658E1	-7.950523442E-1
2.562433058E1	-8.145159709E-1
2.566454458E1	-7.580880010E-1
2.570475958E1	-7.916229522E-1
2.574497358E1	-8.137768829E-1
2.578518758E1	-7.745607769E-1
2.582540258E1	-7.929765826E-1
2.586561658E1	-7.423876423E-1
2.590583158E1	-7.182930207E-1
2.594604508E1	-6.958467293E-1
2.598625908E1	-6.070871651E-1
2.602647408E1	-5.777516842E-1
2.606668808E1	-4.972203219E-1
2.610690308E1	-5.090469003E-1
2.614711708E1	-4.758171737E-1
2.618733108E1	-4.401941818E-1
2.622754608E1	-5.205191374E-2
2.626776008E1	-3.018858969E-1
2.630797408E1	-4.280810899E-1
2.634818908E1	-1.451723313E-1
2.638840308E1	-3.240556151E-1
2.642861808E1	-4.722497874E-1
2.646883208E1	-3.855794334E-1
2.650904608E1	-3.513036400E-1
2.654926108E1	-3.240620470E-1
2.658947508E1	-2.574493968E-1
2.662969008E1	-2.287056541E-1
2.666990408E1	-1.640360337E-1
2.671011808E1	-1.426305467E-1
2.675033308E1	-1.034185338E-1
2.679054708E1	-6.569873035E-2
2.683076108E1	3.602469563E-3
2.687097608E1	-4.834244013E-2
2.691119008E1	-3.980959833E-2
2.695140533E1	-1.855555415E-2
2.699161933E1	-3.263097167E-2
2.703183333E1	-9.582417011E-3
2.707204833E1	-4.131876469E-2
2.711226233E1	-4.350913167E-3
2.715247733E1	-2.306375742E-2
2.719269133E1	7.752530873E-2
2.723290533E1	8.518223763E-3
2.727312033E1	-1.130278480E-1
2.731333433E1	-3.159893811E-2
2.735354933E1	-3.489267468E-2
2.739376333E1	-9.440914392E-3
2.743397733E1	-2.740706921E-2
2.747419233E1	-3.040786028E-2
2.751440633E1	-1.903794944E-2
2.755462133E1	-2.338126123E-2
2.759483533E1	-2.832625151E-2
2.763504933E1	-2.533657014E-2
2.767526433E1	-3.177610874E-2
2.771547833E1	-2.653992712E-2
2.775569333E1	-1.965541542E-2
2.779590733E1	-1.441864908E-2
2.783612133E1	-1.906484663E-2
2.787633633E1	-2.490855396E-2
2.791655033E1	-2.775380909E-2
2.795676508E1	-3.823494315E-2
2.799697908E1	-2.446942806E-2
2.803719308E1	-3.360277891E-2
2.807740808E1	-2.507519960E-2
2.811762208E1	-2.762517035E-2
2.815783708E1	-2.733222485E-2
2.819805108E1	-3.227195263E-2
2.823826608E1	-4.738817453E-2
2.827848008E1	-3.017572582E-2
2.831869408E1	-2.898523271E-2
2.835890908E1	-2.764154255E-2
2.839912308E1	-3.123582602E-2
2.843933808E1	-3.378404260E-2
2.847955208E1	-2.734742761E-2
2.851976608E1	-2.898991048E-2
2.855998108E1	-3.167962968E-2
2.860019508E1	-2.584235430E-2
2.864041008E1	-2.704454184E-2
2.868062408E1	-4.890026450E-2
2.872083908E1	-3.587208331E-2
2.876105308E1	-2.598444164E-2
