"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
9.545090770E-1	2.157452703E-1	-1.443607807E-1	8.531646729E-1	8.917824935E-1
9.595400140E-1	3.247650862E-1	-2.194416821E-1	9.771127701E-1	1.052794557E0
9.645709520E-1	4.508712292E-1	-2.841476202E-1	1.190590858E0	1.304427586E0
9.696018890E-1	5.875521898E-1	-2.914478779E-1	1.512255669E0	1.648355741E0
9.746328270E-1	7.138178349E-1	-2.374213040E-1	1.822544098E0	1.971692614E0
9.796637640E-1	7.801981568E-1	-1.943112016E-1	2.093017578E0	2.242139289E0
9.846947020E-1	8.089250326E-1	-1.626247764E-1	2.276315689E0	2.421243408E0
9.897256390E-1	7.841061950E-1	-1.951480210E-1	2.349123001E0	2.484206946E0
9.947565770E-1	7.995499372E-1	-2.678458691E-1	2.250129700E0	2.402936782E0
9.997875140E-1	8.298702240E-1	-3.138725460E-1	2.023118019E0	2.209119074E0
1.004818452E0	7.790638208E-1	-2.998473346E-1	1.749752045E0	1.938680242E0
1.009849389E0	6.474959850E-1	-2.352677882E-1	1.458879471E0	1.613360249E0
1.014880327E0	4.648211598E-1	-1.532928348E-1	1.169687271E0	1.267961244E0
1.019911264E0	3.325555027E-1	-8.209484816E-2	9.346256256E-1	9.954183977E-1
1.024942202E0	2.994743586E-1	-5.923522636E-2	7.630138397E-1	8.218173904E-1
1.029973139E0	2.848422527E-1	-5.051681027E-2	6.593685150E-1	7.200374266E-1
1.035004077E0	2.126683891E-1	-5.050075799E-2	6.091241837E-1	6.471556547E-1
1.040035014E0	4.496964067E-2	-3.482414782E-2	6.263751984E-1	6.289522072E-1
1.045065952E0	-1.088350415E-1	-2.906739712E-3	6.584291458E-1	6.673698041E-1
1.050096889E0	-2.831980288E-1	2.184078097E-2	6.623716354E-1	7.207040493E-1
1.055127827E0	-4.838318527E-1	7.329776883E-2	5.621252060E-1	7.452855639E-1
1.060158764E0	-6.878006458E-1	1.282124519E-1	3.105421066E-1	7.654701570E-1
1.065189702E0	-8.768160343E-1	1.777408123E-1	-1.155014038E-1	9.020746802E-1
1.070220639E0	-1.022631168E0	2.228294015E-1	-6.008577347E-1	1.206837796E0
1.075251629E0	-1.163559794E0	2.738968730E-1	-1.116737366E0	1.635846336E0
1.080282618E0	-1.241787434E0	2.698331475E-1	-1.624972343E0	2.062857502E0
1.085313608E0	-1.237794876E0	3.024789095E-1	-1.925585747E0	2.309006304E0
1.090344598E0	-1.209032655E0	3.295791149E-1	-2.115006447E0	2.458380488E0
1.095375587E0	-1.179182887E0	3.422187567E-1	-2.322562218E0	2.627143166E0
1.100406577E0	-1.085875273E0	3.455510139E-1	-2.481550694E0	2.730682050E0
1.105437566E0	-9.381193519E-1	2.967177629E-1	-2.625635624E0	2.803938619E0
1.110468556E0	-7.972152233E-1	2.340747118E-1	-2.750196934E0	2.872964716E0
1.115499546E0	-6.669820547E-1	2.099349499E-1	-2.850618839E0	2.935126149E0
1.120530535E0	-6.085776687E-1	2.380257845E-1	-2.869847298E0	2.943305381E0
1.125561525E0	-6.065774560E-1	3.034144640E-1	-2.784446239E0	2.865857185E0
1.130592514E0	-5.984205008E-1	4.007765055E-1	-2.637801647E0	2.734360333E0
1.135623504E0	-5.983660221E-1	4.721699953E-1	-2.511187077E0	2.624318375E0
1.140654493E0	-5.966291428E-1	5.076923370E-1	-2.485526562E0	2.606062189E0
1.145685483E0	-5.976099968E-1	5.023063421E-1	-2.531755924E0	2.649384349E0
1.150716473E0	-5.578461289E-1	4.368478060E-1	-2.616205692E0	2.710453935E0
1.155747462E0	-5.150630474E-1	3.399623632E-1	-2.695838451E0	2.765575764E0
1.160778452E0	-5.163719058E-1	2.926114798E-1	-2.785014153E0	2.847554258E0
1.165809441E0	-5.660600662E-1	2.325515747E-1	-2.855131149E0	2.919979129E0
1.170840431E0	-6.449092627E-1	1.739470959E-1	-2.930109024E0	3.005279428E0
1.175871421E0	-7.244773507E-1	1.166062355E-1	-2.976535797E0	3.065653242E0
1.180902410E0	-7.813258767E-1	7.443809509E-2	-3.027841568E0	3.127912358E0
1.185933400E0	-7.969168425E-1	8.032476902E-2	-3.060084343E0	3.163170041E0
1.190964389E0	-7.908385992E-1	1.240854263E-1	-3.116170406E0	3.217349979E0
1.195995379E0	-7.492276430E-1	2.241438627E-1	-3.224503040E0	3.317981674E0
1.201026368E0	-6.436743140E-1	3.511037827E-1	-3.399068356E0	3.477248362E0
1.206057358E0	-5.174861550E-1	4.808167219E-1	-3.606162071E0	3.674694753E0
1.211088348E0	-4.087619781E-1	5.941426754E-1	-3.812260628E0	3.879874092E0
1.216119337E0	-3.270806074E-1	7.105232477E-1	-3.969720840E0	4.046048512E0
1.221150327E0	-2.582145333E-1	8.017785549E-1	-4.116950512E0	4.202238108E0
1.226181264E0	-2.264460921E-1	8.592242002E-1	-4.196870327E0	4.289902633E0
1.231212202E0	-2.274838090E-1	9.029661417E-1	-4.257570744E0	4.358211258E0
1.236243139E0	-2.333151996E-1	9.196448326E-1	-4.265882015E0	4.370118073E0
1.241274077E0	-2.495259941E-1	9.197957516E-1	-4.207853794E0	4.314431712E0
1.246305014E0	-2.672222853E-1	8.756070137E-1	-4.160179615E0	4.259717106E0
1.251335952E0	-3.250868320E-1	8.258373737E-1	-4.070438862E0	4.166072652E0
1.256366889E0	-4.043140411E-1	7.850006819E-1	-3.957911015E0	4.055213375E0
1.261397827E0	-5.049084425E-1	7.480756044E-1	-3.808345795E0	3.913827709E0
1.266428764E0	-5.886518955E-1	7.097792625E-1	-3.631339073E0	3.746587930E0
1.271459702E0	-6.556037664E-1	6.645557880E-1	-3.455460548E0	3.579337690E0
1.276490639E0	-7.105617523E-1	6.067298651E-1	-3.304363251E0	3.433924231E0
1.281521577E0	-7.485150099E-1	5.591679811E-1	-3.168216228E0	3.303110295E0
1.286552514E0	-7.358065844E-1	5.161356926E-1	-3.132636547E0	3.259021190E0
1.291583452E0	-6.338820457E-1	4.674052000E-1	-3.235273838E0	3.329755378E0
1.296614389E0	-4.470342696E-1	4.459601641E-1	-3.413538933E0	3.471450439E0
1.301645327E0	-1.317862272E-1	4.707349539E-1	-3.557475090E0	3.590903511E0
1.306676264E0	2.166297734E-1	4.607721567E-1	-3.629155159E0	3.664697342E0
1.311707202E0	4.936700165E-1	4.692118168E-1	-3.681461334E0	3.743932073E0
1.316738139E0	7.187981606E-1	4.918845892E-1	-3.685988903E0	3.787497253E0
1.321769077E0	8.301442266E-1	5.532439947E-1	-3.643050194E0	3.777172629E0
1.326800014E0	7.893793583E-1	6.488771439E-1	-3.514738083E0	3.660265716E0
1.331830952E0	5.820610523E-1	6.787910461E-1	-3.315706253E0	3.434160787E0
1.336861889E0	3.701730967E-1	7.099835873E-1	-3.027087688E0	3.131192215E0
1.341892827E0	1.716058850E-1	7.232455015E-1	-2.711130619E0	2.811185136E0
1.346923764E0	-3.408282995E-2	7.181943655E-1	-2.339138985E0	2.447148540E0
1.351954702E0	-2.384971976E-1	6.799955368E-1	-1.868188381E0	2.002349288E0
1.356985639E0	-4.190089405E-1	6.174416542E-1	-1.202968597E0	1.415604512E0
1.362016577E0	-5.478522182E-1	5.437815189E-1	-5.967197418E-1	9.756612340E-1
1.367047514E0	-6.156117320E-1	4.770362377E-1	-3.447179794E-1	8.516876552E-1
1.372078452E0	-6.353994012E-1	4.448570013E-1	-4.121017456E-1	8.783268181E-1
1.377109389E0	-5.904242992E-1	4.129784107E-1	-7.022705078E-1	1.006149038E0
1.382140327E0	-4.825106859E-1	3.764368296E-1	-1.104862213E0	1.263028804E0
1.387171264E0	-3.609283864E-1	3.831560612E-1	-1.524372101E0	1.612695932E0
1.392202202E0	-2.609810233E-1	4.003586769E-1	-1.942090511E0	2.000028430E0
1.397233139E0	-2.328396440E-1	3.769518137E-1	-2.291762352E0	2.334198288E0
1.402264077E0	-2.271265388E-1	2.956711054E-1	-2.588456631E0	2.615170281E0
1.407295014E0	-2.669401169E-1	1.823598146E-1	-2.746938229E0	2.765896195E0
1.412325952E0	-3.281421363E-1	1.244764328E-1	-2.810955524E0	2.832780013E0
1.417356889E0	-4.018089473E-1	8.448243141E-2	-2.838167667E0	2.867713971E0
1.422387827E0	-4.512271285E-1	1.015269756E-2	-2.871507168E0	2.906761499E0
1.427418764E0	-4.690653086E-1	-1.320651770E-1	-2.934484005E0	2.974669704E0
1.432449702E0	-4.962709546E-1	-3.183162212E-1	-3.012339592E0	3.069495055E0
1.437480639E0	-5.881645679E-1	-5.346391201E-1	-3.171458244E0	3.269544914E0
1.442511577E0	-7.711603642E-1	-7.144273520E-1	-3.296792030E0	3.460337041E0
1.447542514E0	-1.004245162E0	-7.674113512E-1	-3.340592384E0	3.571692317E0
1.452573452E0	-1.260515571E0	-6.753029823E-1	-3.198063850E0	3.503219378E0
1.457604389E0	-1.470075846E0	-5.392673016E-1	-2.903162479E0	3.298527641E0
1.462635327E0	-1.610188484E0	-3.888461590E-1	-2.532651424E0	3.026257016E0
1.467666264E0	-1.710151434E0	-2.440296412E-1	-2.067585945E0	2.694267996E0
1.472697202E0	-1.779504418E0	-1.484080553E-1	-1.632281780E0	2.419298397E0
1.477728139E0	-1.832008123E0	-1.452307701E-1	-1.231366158E0	2.212150165E0
1.482759077E0	-1.866618276E0	-2.487814426E-1	-9.124269485E-1	2.092529314E0
1.487790014E0	-1.877416134E0	-4.252465963E-1	-8.088436127E-1	2.088002394E0
1.492820952E0	-1.915603757E0	-6.262810230E-1	-9.247674942E-1	2.217422060E0
